Lower layer Super Output Areas Code,Lower layer Super Output Areas,Economic activity status (20 categories) Code,Economic activity status (20 categories),Observation
E01000132,Barnet 021B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,97
E01000132,Barnet 021B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,72
E01000132,Barnet 021B,8,Economically active and a full-time student: In employment: Employee: Part-time,14
E01000132,Barnet 021B,9,Economically active and a full-time student: In employment: Employee: Full-time,8
E01000132,Barnet 021B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000132,Barnet 021B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01000132,Barnet 021B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000132,Barnet 021B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,4
E01000132,Barnet 021B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,12
E01000132,Barnet 021B,15,Economically inactive: Retired,91
E01000132,Barnet 021B,16,Economically inactive: Student,87
E01000132,Barnet 021B,17,Economically inactive: Looking after home or family,98
E01000132,Barnet 021B,18,Economically inactive: Long-term sick or disabled,56
E01000132,Barnet 021B,19,Economically inactive: Other,55
E01000133,Barnet 021C,-8,Does not apply,369
E01000133,Barnet 021C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,185
E01000133,Barnet 021C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,382
E01000133,Barnet 021C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,14
E01000133,Barnet 021C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,7
E01000133,Barnet 021C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,55
E01000133,Barnet 021C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,74
E01000133,Barnet 021C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,44
E01000133,Barnet 021C,8,Economically active and a full-time student: In employment: Employee: Part-time,13
E01000133,Barnet 021C,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000133,Barnet 021C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000133,Barnet 021C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000133,Barnet 021C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01000133,Barnet 021C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000133,Barnet 021C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
E01000133,Barnet 021C,15,Economically inactive: Retired,152
E01000133,Barnet 021C,16,Economically inactive: Student,102
E01000133,Barnet 021C,17,Economically inactive: Looking after home or family,102
E01000133,Barnet 021C,18,Economically inactive: Long-term sick or disabled,79
E01000133,Barnet 021C,19,Economically inactive: Other,54
E01000134,Barnet 024F,-8,Does not apply,406
E01000134,Barnet 024F,1,Economically active (excluding full-time students): In employment: Employee: Part-time,173
E01000134,Barnet 024F,2,Economically active (excluding full-time students): In employment: Employee: Full-time,398
E01000134,Barnet 024F,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,8
E01000134,Barnet 024F,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,28
E01000134,Barnet 024F,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,73
E01000134,Barnet 024F,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,96
E01000134,Barnet 024F,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,74
E01000134,Barnet 024F,8,Economically active and a full-time student: In employment: Employee: Part-time,15
E01000134,Barnet 024F,9,Economically active and a full-time student: In employment: Employee: Full-time,6
E01000134,Barnet 024F,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000134,Barnet 024F,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000134,Barnet 024F,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000134,Barnet 024F,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000134,Barnet 024F,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2
E01000134,Barnet 024F,15,Economically inactive: Retired,162
E01000134,Barnet 024F,16,Economically inactive: Student,172
E01000134,Barnet 024F,17,Economically inactive: Looking after home or family,92
E01000134,Barnet 024F,18,Economically inactive: Long-term sick or disabled,42
E01000134,Barnet 024F,19,Economically inactive: Other,69
E01000135,Barnet 038A,-8,Does not apply,312
E01000135,Barnet 038A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,131
E01000135,Barnet 038A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,419
E01000135,Barnet 038A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01000135,Barnet 038A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,34
E01000135,Barnet 038A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,93
E01000135,Barnet 038A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,91
E01000135,Barnet 038A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,34
E01000135,Barnet 038A,8,Economically active and a full-time student: In employment: Employee: Part-time,1
E01000135,Barnet 038A,9,Economically active and a full-time student: In employment: Employee: Full-time,1
E01000135,Barnet 038A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000135,Barnet 038A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000135,Barnet 038A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000135,Barnet 038A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000135,Barnet 038A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
E01000135,Barnet 038A,15,Economically inactive: Retired,256
E01000135,Barnet 038A,16,Economically inactive: Student,115
E01000135,Barnet 038A,17,Economically inactive: Looking after home or family,87
